b/h,300,400,500,600,610,700,800,900,910,1000,1100,1200,1210,1300,1400,1500,1600,1700,1800,1810,1900,2000,2100,2200,2300,2400,2500,2600,2700,2710,2800,2900,3000,3100,3200,3300,3400,3500,3600,3610,3700,3800,3900,4000,4100,4200,4300,4400,4500,4510,4600,4700,4800,4900,5000,5100,5200,5300,5400,5410,5500,5600,5700,5800,5900,6000,6100,6200,6300,6310,6400,6500,6600,6700,6800,6900,7000,7100,7200,7210,7300,7400,7500,7600,7700,7800,7900,8000,8100,8110,8200,8300,8400,8500,8600,8700,8800,8900,9000
500, 97.50, 99.11, 100.71, 102.32, 130.50, 132.09, 133.70, 135.30, 174.44, 176.03, 177.64, 179.25, 260.58, 262.17, 263.78, 265.39, 266.99, 268.60, 270.21, 390.66, 392.25, 393.86, 395.47, 397.07, 398.68, 400.29, 401.90, 403.51, 405.11, 525.56, 527.15, 528.76, 530.37, 531.98, 533.59, 535.20, 536.80, 538.41, 540.02, 660.47, 662.06, 663.67, 665.28, 666.88, 668.49, 670.10, 671.71, 673.32, 674.93, 795.37, 796.96, 798.57, 800.18, 801.79, 803.40, 805.01, 806.61, 808.22, 809.83, 930.28, 931.87, 933.48, 935.09, 936.69, 938.30, 939.91, 941.52, 943.13, 944.74, 1065.18, 1066.78, 1068.38, 1069.99, 1071.60, 1073.21, 1074.82, 1076.42, 1078.03, 1079.64, 1200.09, 1201.68, 1203.29, 1204.90, 1206.51, 1208.11, 1209.72, 1211.33, 1212.94, 1214.55, 1334.99, 1336.59, 1338.19, 1339.80, 1341.41, 1343.02, 1344.63, 1346.24, 1347.84, 1349.45
600, 98.64, 100.37, 102.10, 103.82, 132.11, 133.82, 135.55, 137.28, 177.04, 178.75, 180.47, 182.20, 263.81, 265.52, 267.25, 268.98, 270.70, 272.43, 274.16, 395.51, 397.22, 398.95, 400.67, 402.40, 404.13, 405.85, 407.58, 409.31, 411.04, 532.39, 534.10, 535.83, 537.55, 539.28, 541.01, 542.73, 544.46, 546.19, 547.91, 669.27, 670.98, 672.70, 674.43, 676.16, 677.89, 679.61, 681.34, 683.07, 684.79, 806.15, 807.86, 809.58, 811.31, 813.04, 814.76, 816.49, 818.22, 819.94, 821.67, 943.03, 944.74, 946.46, 948.19, 949.92, 951.64, 953.37, 955.10, 956.82, 958.55, 1079.90, 1081.61, 1083.34, 1085.07, 1086.79, 1088.52, 1090.25, 1091.97, 1093.70, 1095.43, 1216.78, 1218.49, 1220.22, 1221.95, 1223.67, 1225.40, 1227.13, 1228.85, 1230.58, 1232.31, 1353.66, 1355.37, 1357.10, 1358.82, 1360.55, 1362.28, 1364.01, 1365.73, 1367.46, 1369.19
700, 99.79, 101.63, 103.48, 105.33, 133.73, 135.56, 137.41, 139.25, 179.63, 181.46, 183.31, 185.15, 267.05, 268.88, 270.72, 272.57, 274.41, 276.26, 278.10, 400.36, 402.19, 404.04, 405.88, 407.73, 409.57, 411.42, 413.26, 415.11, 416.96, 539.22, 541.04, 542.89, 544.73, 546.58, 548.43, 550.27, 552.12, 553.96, 555.81, 678.07, 679.90, 681.74, 683.59, 685.43, 687.28, 689.12, 690.97, 692.81, 694.66, 816.92, 818.75, 820.59, 822.44, 824.28, 826.13, 827.98, 829.82, 831.67, 833.51, 955.77, 957.60, 959.45, 961.29, 963.14, 964.98, 966.83, 968.67, 970.52, 972.36, 1094.63, 1096.45, 1098.30, 1100.14, 1101.99, 1103.83, 1105.68, 1107.53, 1109.37, 1111.22, 1233.48, 1235.30, 1237.15, 1239.00, 1240.84, 1242.69, 1244.53, 1246.38, 1248.22, 1250.07, 1372.33, 1374.16, 1376.00, 1377.85, 1379.69, 1381.54, 1383.38, 1385.23, 1387.07, 1388.92
800, 100.93, 102.90, 104.86, 106.83, 135.35, 137.30, 139.26, 141.22, 182.23, 184.18, 186.14, 188.10, 270.29, 272.23, 274.19, 276.16, 278.12, 280.09, 282.05, 405.22, 407.16, 409.13, 411.09, 413.06, 415.02, 416.98, 418.95, 420.91, 422.88, 546.04, 547.99, 549.95, 551.92, 553.88, 555.85, 557.81, 559.77, 561.74, 563.70, 686.87, 688.81, 690.78, 692.74, 694.71, 696.67, 698.63, 700.60, 702.56, 704.53, 827.70, 829.64, 831.60, 833.57, 835.53, 837.50, 839.46, 841.42, 843.39, 845.35, 968.52, 970.47, 972.43, 974.39, 976.36, 978.32, 980.29, 982.25, 984.21, 986.18, 1109.35, 1111.29, 1113.25, 1115.22, 1117.18, 1119.15, 1121.11, 1123.08, 1125.04, 1127.00, 1250.17, 1252.12, 1254.08, 1256.04, 1258.01, 1259.97, 1261.94, 1263.90, 1265.86, 1267.83, 1391.00, 1392.94, 1394.91, 1396.87, 1398.83, 1400.80, 1402.76, 1404.73, 1406.69, 1408.65
900, 102.08, 104.16, 106.24, 108.33, 136.97, 139.03, 141.12, 143.20, 184.83, 186.89, 188.97, 191.06, 273.52, 275.58, 277.67, 279.75, 281.83, 283.91, 286.00, 410.07, 412.13, 414.22, 416.30, 418.38, 420.47, 422.55, 424.63, 426.71, 428.80, 552.87, 554.93, 557.02, 559.10, 561.18, 563.26, 565.35, 567.43, 569.51, 571.60, 695.67, 697.73, 699.82, 701.90, 703.98, 706.06, 708.15, 710.23, 712.31, 714.39, 838.47, 840.53, 842.61, 844.70, 846.78, 848.86, 850.94, 853.03, 855.11, 857.19, 981.27, 983.33, 985.41, 987.50, 989.58, 991.66, 993.74, 995.83, 997.91, 999.99, 1124.07, 1126.13, 1128.21, 1130.29, 1132.38, 1134.46, 1136.54, 1138.63, 1140.71, 1142.79, 1266.87, 1268.93, 1271.01, 1273.09, 1275.18, 1277.26, 1279.34, 1281.42, 1283.51, 1285.59, 1409.67, 1411.73, 1413.81, 1415.89, 1417.98, 1420.06, 1422.14, 1424.22, 1426.31, 1428.39
910, 105.85, 107.94, 110.02, 112.10, 144.51, 146.57, 148.66, 150.74, 192.38, 194.44, 196.53, 198.61, 288.60, 290.67, 292.75, 294.83, 296.92, 299.00, 301.08, 432.69, 434.76, 436.84, 438.92, 441.01, 443.09, 445.18, 447.26, 449.34, 451.43, 583.04, 585.10, 587.18, 589.27, 591.35, 593.43, 595.52, 597.60, 599.69, 601.77, 733.38, 735.44, 737.53, 739.61, 741.69, 743.78, 745.86, 747.94, 750.03, 752.11, 883.72, 885.78, 887.87, 889.95, 892.04, 894.12, 896.20, 898.29, 900.37, 902.46, 1034.06, 1036.13, 1038.21, 1040.29, 1042.38, 1044.46, 1046.55, 1048.63, 1050.71, 1052.80, 1184.41, 1186.47, 1188.55, 1190.64, 1192.72, 1194.81, 1196.89, 1198.97, 1201.06, 1203.14, 1334.75, 1336.81, 1338.90, 1340.98, 1343.06, 1345.15, 1347.23, 1349.32, 1351.40, 1353.48, 1485.09, 1487.16, 1489.24, 1491.32, 1493.41, 1495.49, 1497.57, 1499.66, 1501.74, 1503.83
1000, 106.99, 109.19, 111.39, 113.59, 146.11, 148.29, 150.49, 152.70, 194.95, 197.13, 199.33, 201.53, 291.81, 293.99, 296.19, 298.39, 300.59, 302.79, 304.99, 437.50, 439.68, 441.88, 444.08, 446.28, 448.48, 450.68, 452.89, 455.09, 457.29, 589.79, 591.97, 594.18, 596.38, 598.58, 600.78, 602.98, 605.18, 607.38, 609.58, 742.09, 744.27, 746.47, 748.67, 750.87, 753.08, 755.28, 757.48, 759.68, 761.88, 894.39, 896.57, 898.77, 900.97, 903.17, 905.37, 907.57, 909.78, 911.98, 914.18, 1046.68, 1048.86, 1051.06, 1053.27, 1055.47, 1057.67, 1059.87, 1062.07, 1064.27, 1066.47, 1198.98, 1201.16, 1203.36, 1205.56, 1207.76, 1209.97, 1212.17, 1214.37, 1216.57, 1218.77, 1351.28, 1353.46, 1355.66, 1357.86, 1360.06, 1362.26, 1364.46, 1366.66, 1368.87, 1371.07, 1503.57, 1505.75, 1507.95, 1510.16, 1512.36, 1514.56, 1516.76, 1518.96, 1521.16, 1523.36
1100, 108.13, 110.45, 112.77, 115.09, 147.73, 150.03, 152.35, 154.67, 197.55, 199.85, 202.17, 204.49, 295.04, 297.34, 299.66, 301.98, 304.30, 306.62, 308.94, 442.35, 444.65, 446.97, 449.29, 451.61, 453.93, 456.25, 458.57, 460.89, 463.21, 596.62, 598.92, 601.24, 603.56, 605.88, 608.20, 610.52, 612.84, 615.16, 617.48, 750.89, 753.19, 755.51, 757.83, 760.15, 762.47, 764.79, 767.11, 769.43, 771.75, 905.16, 907.46, 909.78, 912.10, 914.42, 916.74, 919.06, 921.38, 923.70, 926.02, 1059.43, 1061.73, 1064.05, 1066.37, 1068.69, 1071.01, 1073.33, 1075.65, 1077.97, 1080.29, 1213.70, 1216.00, 1218.32, 1220.64, 1222.96, 1225.28, 1227.60, 1229.92, 1232.24, 1234.56, 1367.97, 1370.27, 1372.59, 1374.91, 1377.23, 1379.55, 1381.87, 1384.19, 1386.51, 1388.83, 1522.24, 1524.54, 1526.86, 1529.18, 1531.50, 1533.82, 1536.14, 1538.46, 1540.78, 1543.10
1200, 109.28, 111.72, 114.15, 116.59, 149.35, 151.77, 154.20, 156.64, 200.15, 202.56, 205.00, 207.44, 298.28, 300.69, 303.13, 305.57, 308.01, 310.45, 312.89, 447.21, 449.62, 452.06, 454.50, 456.94, 459.37, 461.81, 464.25, 466.69, 469.13, 603.45, 605.86, 608.30, 610.74, 613.18, 615.62, 618.06, 620.50, 622.93, 625.37, 759.69, 762.11, 764.55, 766.98, 769.42, 771.86, 774.30, 776.74, 779.18, 781.62, 915.94, 918.35, 920.79, 923.23, 925.67, 928.10, 930.54, 932.98, 935.42, 937.86, 1072.18, 1074.59, 1077.03, 1079.47, 1081.91, 1084.35, 1086.79, 1089.23, 1091.66, 1094.10, 1228.42, 1230.84, 1233.28, 1235.71, 1238.15, 1240.59, 1243.03, 1245.47, 1247.91, 1250.35, 1384.67, 1387.08, 1389.52, 1391.96, 1394.40, 1396.83, 1399.27, 1401.71, 1404.15, 1406.59, 1540.91, 1543.32, 1545.76, 1548.20, 1550.64, 1553.08, 1555.52, 1557.95, 1560.39, 1562.83
